107,959
118,958
131,964
143,978
144,986
107,985
109,863
441,863
444,655
453,654
470,641
496,612
510,586
518,554
517,518
503,480
487,457
470,440
453,427
444,426
441,216
108,216
107,395
224,396
227,400
225,682
107,681
107,482
105,479
60,479
56,482
56,597
106,600
108,396
108,864
107,122
123,119
135,112
143,100
143,94
148,91
956,91
960,95
960,391
919,394
876,406
838,426
805,455
784,486
774,514
772,549
774,565
783,591
805,624
822,641
851,661
874,672
909,683
943,688
959,687
959,392
959,541
961,540
952,540
960,688
995,686
1040,674
1068,661
1098,640
1119,618
1137,588
1146,555
1147,531
1141,502
1128,474
1113,454
1089,432
1068,418
1023,399
994,393
960,391
959,986
1812,985
1812,959
1809,957
1788,964
1778,974
1775,984
1812,956
1812,601
1863,597
1863,482
1859,479
1812,479
1810,396
1695,396
1692,399
1692,680
1810,682
1812,218
1809,215
1477,216
1475,426
1466,427
1449,440
1420,473
1402,515
1400,548
1405,577
1420,608
1449,641
1465,653
1475,654
1476,428
1475,850
1478,863
1810,863
1474,655
1475,424
1811,215
1812,94
1809,91
1779,91
1775,95
1778,105
1788,115
1810,121
1774,92
1769,91
958,92
1776,92
1811,121
1811,958
1775,987
143,987
958,688
959,390
144,92
110,91
107,94
108,121
144,93
445,425
444,657
1593,540
332,540
107,959
