137,564
157,574
1782,563
1767,573
1759,573
1783,563
130,545
137,552
1794,540
1781,552
140,519
129,527
141,519
1779,518
1791,528
1762,499
1767,499
1781,508
160,498
137,507
1708,482
1749,485
1757,482
1910,482
1910,588
1703,587
1701,486
1707,483
1700,485
1693,482
1642,482
1609,487
1587,496
1573,506
1565,515
1559,532
1560,545
1568,559
1595,578
1638,588
1697,588
1701,585
1701,486
1911,589
1910,745
1611,745
1549,740
1474,724
1401,693
1356,661
1334,639
1314,612
1299,578
1293,545
1296,505
1311,465
1334,432
1365,403
1415,371
1458,352
1511,337
1555,330
1698,325
1910,326
1911,483
1911,175
1908,170
955,170
952,173
954,426
990,426
1037,434
1072,445
1115,469
1136,489
1151,516
1154,540
1147,566
1132,587
1118,600
1074,625
1019,641
957,646
955,537
991,535
955,535
954,427
947,425
908,428
878,434
837,448
816,459
777,492
766,511
761,536
763,552
774,575
793,596
817,613
874,636
926,645
956,645
959,906
963,909
1907,909
1911,903
1911,744
959,905
954,909
11,909
6,904
7,745
312,745
402,735
462,718
532,684
562,661
585,638
613,594
622,565
625,535
622,504
615,481
604,460
577,424
554,403
522,381
458,351
407,337
328,327
6,326
6,175
10,170
953,172
6,327
7,589
168,586
211,588
217,584
222,588
293,586
309,583
335,572
351,558
359,542
359,528
352,514
340,502
323,492
300,485
275,482
222,482
217,486
217,584
215,483
8,482
218,485
217,585
6,590
6,746
7,481
957,646
954,424
954,536
926,537
955,537
1910,326
1911,587
137,564
