333,669
333,449
334,632
363,630
404,618
427,605
448,586
458,572
466,544
464,523
454,500
432,477
403,460
359,448
333,446
333,449
332,347
97,346
97,730
98,635
216,634
216,444
97,444
97,161
115,161
134,153
147,140
152,125
147,140
134,153
115,161
97,163
99,125
960,125
959,538
962,539
958,545
957,664
960,664
957,540
960,415
930,416
893,423
867,432
838,447
819,461
798,484
786,506
780,528
780,551
787,575
804,602
826,623
851,639
888,654
918,661
958,665
958,951
958,665
1022,656
1049,647
1075,634
1097,618
1120,593
1131,572
1137,546
1135,520
1123,490
1089,454
1069,441
1034,426
995,417
959,414
960,125
1766,125
1772,141
1783,152
1800,160
1821,163
1800,160
1783,152
1772,141
1766,125
1821,126
1821,444
1704,444
1704,634
1821,634
1821,728
1820,347
1587,348
1587,631
1587,446
1538,453
1502,468
1472,493
1458,517
1455,528
1455,550
1459,564
1471,584
1492,604
1536,625
1564,631
1587,631
1588,731
1821,732
1821,728
1821,917
1806,917
1787,924
1773,936
1767,948
1773,936
1782,927
1802,918
1820,916
1820,953
152,953
148,940
136,927
123,920
98,916
117,918
136,927
148,940
152,953
98,953
97,730
332,731
333,669
1651,540
270,539
333,669
